month,sensor_id,avg_hourly_counts,sensor_description,latitude,longitude,location,rank
December,59,207.56989247311827,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)",51
December,39,171.75410454802793,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)",52
December,77,167.49327956989248,Harbour Esplanade (West) - Pedestrian path,-37.81441438,144.94433026,"(-37.81441438, 144.94433026)",53
December,49,158.94301075268817,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)",54
December,8,152.77078163771714,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)",55
December,37,152.47676651305684,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)",56
December,33,141.19408602150537,Flinders St-Spring St (West),-37.81483252,144.97454056,"(-37.81483252, 144.97454056)",57
December,68,140.13844086021504,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)",58
December,70,137.9326388888889,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)",59
December,10,136.63678660049627,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)",60
December,69,123.68481182795699,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)",61
December,11,121.598635235732,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)",62
December,27,120.42826617826618,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)",63
December,34,117.321044546851,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)",64
December,62,117.1581541218638,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)",65
December,42,114.44444444444444,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)",66
December,51,110.34381720430108,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)",67
December,73,79.01478494623656,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)",68
December,54,69.67527548209367,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)",69
December,43,66.52668970814132,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)",70
December,64,62.71034946236559,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)",71
December,76,54.57392473118279,Macaulay Rd- Bellair St,-37.79453802,144.93036194,"(-37.79453802, 144.93036194)",72
December,78,51.340053763440864,Harbour Esplanade (West) - Bike Path,-37.81471642,144.9446508,"(-37.81471642, 144.9446508)",73
December,75,48.288978494623656,Spring St- Flinders st (West),-37.81515275,144.97467661,"(-37.81515275, 144.97467661)",74
December,46,44.616129032258065,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)",75
December,44,40.11539938556068,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)",76
December,71,36.30510752688172,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)",77
February,38,2502.501461988304,Flinders St-Swanston St (West),-37.81723437,144.96715033,"(-37.81723437, 144.96715033)",1
February,35,1527.4446308724832,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)",2
February,22,1482.3422363060208,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)",3
February,41,1457.3123388581953,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)",4
